"","ticker","zero column","date","time","open","high","low","close","vol","second zero column"
"941086","ORANGEPL",0,20200922,90329,7.055,7.055,7.055,7.055,1593,0
"941087","ORANGEPL",0,20200922,90330,7.085,7.085,7.085,7.085,67,0
"941088","ORANGEPL",0,20200922,90333,7.09,7.09,7.09,7.09,1700,0
"941089","ORANGEPL",0,20200922,90334,7.09,7.09,7.09,7.09,3807,0
"941090","ORANGEPL",0,20200922,90337,7.09,7.09,7.09,7.09,589,0
"941091","ORANGEPL",0,20200922,90338,7.095,7.095,7.095,7.095,553,0
"941092","ORANGEPL",0,20200922,90453,7.095,7.095,7.095,7.095,4,0
"941093","ORANGEPL",0,20200922,90602,7.095,7.095,7.095,7.095,10,0
"941094","ORANGEPL",0,20200922,90620,7.095,7.1,7.095,7.1,1103,0
"941095","ORANGEPL",0,20200922,90624,7.08,7.08,7.08,7.08,6389,0
"941096","ORANGEPL",0,20200922,90625,7.075,7.075,7.075,7.075,345,0
"941097","ORANGEPL",0,20200922,90626,7.07,7.07,7.065,7.065,6375,0
"941098","ORANGEPL",0,20200922,90628,7.055,7.055,7.055,7.055,171,0
"941099","ORANGEPL",0,20200922,90720,7.06,7.06,7.06,7.06,144,0
"941100","ORANGEPL",0,20200922,90756,7.08,7.08,7.08,7.08,135,0
"941101","ORANGEPL",0,20200922,90838,7.08,7.08,7.08,7.08,100,0
"941102","ORANGEPL",0,20200922,90929,7.07,7.07,7.07,7.07,200,0
"941103","ORANGEPL",0,20200922,90933,7.07,7.07,7.07,7.07,1388,0
"941104","ORANGEPL",0,20200922,91141,7.08,7.08,7.08,7.08,500,0
"941105","ORANGEPL",0,20200922,91214,7.08,7.08,7.08,7.08,2008,0
"941106","ORANGEPL",0,20200922,91217,7.095,7.095,7.095,7.095,169,0
"941107","ORANGEPL",0,20200922,91243,7.085,7.085,7.07,7.07,563,0
"941108","ORANGEPL",0,20200922,91323,7.06,7.06,7.055,7.055,8901,0
"941109","ORANGEPL",0,20200922,91325,7.065,7.065,7.065,7.065,482,0
"941110","ORANGEPL",0,20200922,91757,7.03,7.03,7.03,7.03,420,0
"941111","ORANGEPL",0,20200922,91842,7.03,7.03,7.02,7.02,1455,0
"941112","ORANGEPL",0,20200922,91910,7.03,7.03,7.03,7.03,1000,0
"941113","ORANGEPL",0,20200922,91911,7.04,7.04,7.04,7.04,110,0
"941114","ORANGEPL",0,20200922,92026,7.02,7.02,7.02,7.02,1000,0
"941115","ORANGEPL",0,20200922,92041,7.045,7.05,7.045,7.05,1484,0
"941116","ORANGEPL",0,20200922,92043,7.05,7.05,7.05,7.05,187,0
"941117","ORANGEPL",0,20200922,92101,7.05,7.065,7.05,7.065,1485,0
"941118","ORANGEPL",0,20200922,92257,7.07,7.075,7.07,7.075,2000,0
"941119","ORANGEPL",0,20200922,92259,7.075,7.075,7.075,7.075,184,0
"941120","ORANGEPL",0,20200922,92955,7.035,7.035,7.035,7.035,1593,0
"941121","ORANGEPL",0,20200922,93126,7.065,7.065,7.065,7.065,406,0
"941122","ORANGEPL",0,20200922,93157,7.07,7.07,7.07,7.07,1159,0
"941123","ORANGEPL",0,20200922,93222,7.06,7.06,7.06,7.06,1593,0
"941124","ORANGEPL",0,20200922,93334,7.055,7.055,7.05,7.05,1535,0
"941125","ORANGEPL",0,20200922,93337,7.055,7.055,7.055,7.055,164,0
"941126","ORANGEPL",0,20200922,93627,7.025,7.025,7.02,7.02,1000,0
"941127","ORANGEPL",0,20200922,93837,7.03,7.03,7.03,7.03,474,0
"941128","ORANGEPL",0,20200922,93900,7.03,7.03,7.03,7.03,390,0
"941129","ORANGEPL",0,20200922,93920,7.045,7.045,7.045,7.045,135,0
"941130","ORANGEPL",0,20200922,93921,7.045,7.055,7.045,7.055,1349,0
"941131","ORANGEPL",0,20200922,94013,7.055,7.055,7.055,7.055,176,0
"941132","ORANGEPL",0,20200922,94116,7.06,7.06,7.06,7.06,1000,0
"941133","ORANGEPL",0,20200922,94617,7.065,7.065,7.065,7.065,255,0
"941134","ORANGEPL",0,20200922,94638,7.03,7.03,7.03,7.03,500,0
"941135","ORANGEPL",0,20200922,94805,7.04,7.04,7.04,7.04,1400,0
"941136","ORANGEPL",0,20200922,94815,7.065,7.075,7.065,7.075,5261,0
"941137","ORANGEPL",0,20200922,94816,7.075,7.075,7.075,7.075,1246,0
"941138","ORANGEPL",0,20200922,94844,7.085,7.09,7.075,7.09,8260,0
"941139","ORANGEPL",0,20200922,94845,7.09,7.09,7.09,7.09,139,0
"941140","ORANGEPL",0,20200922,94847,7.095,7.095,7.095,7.095,281,0
"941141","ORANGEPL",0,20200922,94858,7.1,7.1,7.1,7.1,2718,0
"941142","ORANGEPL",0,20200922,94953,7.1,7.1,7.1,7.1,150,0
"941143","ORANGEPL",0,20200922,95024,7.095,7.095,7.095,7.095,629,0
"941144","ORANGEPL",0,20200922,95228,7.1,7.1,7.1,7.1,2014,0
"941145","ORANGEPL",0,20200922,95246,7.1,7.1,7.1,7.1,1189,0
"941146","ORANGEPL",0,20200922,95310,7.09,7.09,7.09,7.09,2729,0
"941147","ORANGEPL",0,20200922,95547,7.095,7.095,7.095,7.095,145,0
"941148","ORANGEPL",0,20200922,95759,7.09,7.09,7.09,7.09,500,0
"941149","ORANGEPL",0,20200922,95957,7.07,7.07,7.07,7.07,1593,0
"941150","ORANGEPL",0,20200922,100209,7.085,7.085,7.085,7.085,135,0
"941151","ORANGEPL",0,20200922,100213,7.085,7.09,7.085,7.09,135,0
